side_effect,comment,drug
dyspnoea,"It was dark outside. You probably had a crash which can make you anxious. Those most likely were not hallucinations, but your mind playing tricks and jumping to the worst case scenario. Been there done that",concerta
dyspnoea,"""I was diagnosed with mixed-type ADHD at 25, far later than most. I started at 18 mg and have been slowly bumped up to 36 mg. Overall, my working/short-term memory, energy levels, and mood have improved moderately. Unfortunately, I somehow burn through the medication in less than 6 hours and crash halfway through work almost every day. This drug has helped a lot, but it isn't perfect for my brain chemistry.""",concerta
hypotension,"Then it can't primarily be the Concerta.  If it were, the chest pain time of day would move, too.

What are you doing earlier in the day, regularly?  Are you having afternoon caffeine?  The conversion to norepinephrine about 5 hours later may very well give you anxiety and chest pain.",concerta
hypotension,"Sounds more like anxiety. Those are normal blood pressure readings - tho you need to know how to take them & space them apart for accuracy.

When my doctor checks my pulse, it goes high due to my anxiety with doctors. Pulse rates fluctuate and that’s normal. 

You should work on managing stress and anxiety such as with short guided meditations or even eft tapping. These can centre you & help your body find calm again.",concerta
hypotension,"It was dark outside. You probably had a crash which can make you anxious. Those most likely were not hallucinations, but your mind playing tricks and jumping to the worst case scenario. Been there done that",concerta
hypotension,"You're so wrong, your endocannabinoid system changes and, when you quit, it takes a month (minimum) to restore. Also other parts of the nervous system make changes as serotonin, gaba, glutamate, dopamine.... So of course weed cause physical dependence and psychological too. Other thing is that dependence is lower when compared to other substances as nicotine or opioid but it is real and exist.",concerta
hypotension,"54 in the morning. I try to do high protein for the first half of the day, start my day with electrolytes, and sleep at least 7-8 hours. When I sleep less, it really has no effect.",concerta
application site erythema,"Then it can't primarily be the Concerta.  If it were, the chest pain time of day would move, too.

What are you doing earlier in the day, regularly?  Are you having afternoon caffeine?  The conversion to norepinephrine about 5 hours later may very well give you anxiety and chest pain.",concerta
application site erythema,"""I was diagnosed with mixed-type ADHD at 25, far later than most. I started at 18 mg and have been slowly bumped up to 36 mg. Overall, my working/short-term memory, energy levels, and mood have improved moderately. Unfortunately, I somehow burn through the medication in less than 6 hours and crash halfway through work almost every day. This drug has helped a lot, but it isn't perfect for my brain chemistry.""",concerta
application site erythema,"It was dark outside. You probably had a crash which can make you anxious. Those most likely were not hallucinations, but your mind playing tricks and jumping to the worst case scenario. Been there done that",concerta
application site erythema,"Sounds more like anxiety. Those are normal blood pressure readings - tho you need to know how to take them & space them apart for accuracy.

When my doctor checks my pulse, it goes high due to my anxiety with doctors. Pulse rates fluctuate and that’s normal. 

You should work on managing stress and anxiety such as with short guided meditations or even eft tapping. These can centre you & help your body find calm again.",concerta
application site erythema,"No, side effects. Perhaps bodies adapt to the combo? Living in a wine producing region a glass or two of wine late afternoon/early evening is common. I was not even aware in the beginning that the two should not mix. Perhaps it affected me initially but not anymore. My wife would also quickly comment on it if she noticed my behaviour was unusual or I was getting to tipsy.",concerta
irritability,"I have it as well. There are other causes of chronic fatigue, though, so do your dilligence with your health. For me, it is also a blood disorder and g6pd enzyme deficiency. Both involve iron anemia, and low iron causes fatigue and increased adhd symptoms.",ritalin
irritability,"For me, it's lowered my Blood pressure and pulse. So for some people who it does that to, and takes away the stress and anxiety, it probably actually lengthens life span.",ritalin
irritability,"Thanks for this comment! How do you deal with feeling emotionally numbed, less able to laugh and more agitated at things in general? I really struggle with that even at homeopathically low doses",ritalin
irritability,"For people who are struggling with fatigue—try mouth taping at night and see how you feel. Obviously don’t rule out other situations, but sleep disorders are very comorbid with ADHD. There is no healthy snoring. It is not good for you. I have seen a huge difference in how restorative my sleep is due to this.",ritalin
irritability,"I understand, but I am not jazzed about long term health side effects of stimulant usage, and I want to minimize the effects. Also, I have trouble sleeping at higher dosages. Everyone's body chemistry is just a little different.",ritalin
dizziness,"I have it as well. There are other causes of chronic fatigue, though, so do your dilligence with your health. For me, it is also a blood disorder and g6pd enzyme deficiency. Both involve iron anemia, and low iron causes fatigue and increased adhd symptoms.",ritalin
dizziness,"For me, it's lowered my Blood pressure and pulse. So for some people who it does that to, and takes away the stress and anxiety, it probably actually lengthens life span.",ritalin
dizziness,"For people who are struggling with fatigue—try mouth taping at night and see how you feel. Obviously don’t rule out other situations, but sleep disorders are very comorbid with ADHD. There is no healthy snoring. It is not good for you. I have seen a huge difference in how restorative my sleep is due to this.",ritalin
dizziness,"""Many people experience a rebound phase when their Ritalin wears off. In that time symptoms may be heightened. I personally find that very annoying, but it's rather normal. In that time I have troubles with making decision, forming complete and grammatically correct sentences etc."" 


Thank you!! 
Experienced exactly this yesterday and wondered. Just starting meds.",ritalin
dizziness,Is he taking it after a meal. If I take meds before the peak dose is way to high and the side effects wreck me. Fats slow the digestion of some adhd medication.,ritalin
dyspnoea,"I have it as well. There are other causes of chronic fatigue, though, so do your dilligence with your health. For me, it is also a blood disorder and g6pd enzyme deficiency. Both involve iron anemia, and low iron causes fatigue and increased adhd symptoms.",ritalin
dyspnoea,"For me, it's lowered my Blood pressure and pulse. So for some people who it does that to, and takes away the stress and anxiety, it probably actually lengthens life span.",ritalin
dyspnoea,I had a similar affect! I had unusually low blood pressure but a high heart rate. Now my blood pressure is normal and my heart rate has decreased. Very bizarre but relieving! Also on adderall xr & ir,ritalin
dyspnoea,My mom was diagnosed with Parkinson's and my psych took me off methylphenidate completely. He says it will bring on symptoms of Parkinson's much earlier. It's killing me - I'm really struggling without it.,ritalin
dyspnoea,"For people who are struggling with fatigue—try mouth taping at night and see how you feel. Obviously don’t rule out other situations, but sleep disorders are very comorbid with ADHD. There is no healthy snoring. It is not good for you. I have seen a huge difference in how restorative my sleep is due to this.",ritalin
application site erythema,"I have it as well. There are other causes of chronic fatigue, though, so do your dilligence with your health. For me, it is also a blood disorder and g6pd enzyme deficiency. Both involve iron anemia, and low iron causes fatigue and increased adhd symptoms.",ritalin
application site erythema,"https://my.clevelandclinic.org/health/articles/22588-dopamine-deficiency

Not a case study, but supports what the neurologist was telling my father in law.

Moral of the story, take the physical health of your brain seriously and have a discussion with your doctor about any concerns. Otherwise you could be at risk for longer term affects.",ritalin
application site erythema,Strattera takes a long time to work (months and months) and the preferred dose is 80mg.  It’s a weird drug.  Wellbutrin is also reported to work.  So you’re not out of options.,ritalin
application site erythema,My mom was diagnosed with Parkinson's and my psych took me off methylphenidate completely. He says it will bring on symptoms of Parkinson's much earlier. It's killing me - I'm really struggling without it.,ritalin
application site erythema,"For me, it's lowered my Blood pressure and pulse. So for some people who it does that to, and takes away the stress and anxiety, it probably actually lengthens life span.",ritalin
hypotension,"I have it as well. There are other causes of chronic fatigue, though, so do your dilligence with your health. For me, it is also a blood disorder and g6pd enzyme deficiency. Both involve iron anemia, and low iron causes fatigue and increased adhd symptoms.",ritalin
hypotension,"For me, it's lowered my Blood pressure and pulse. So for some people who it does that to, and takes away the stress and anxiety, it probably actually lengthens life span.",ritalin
hypotension,I had a similar affect! I had unusually low blood pressure but a high heart rate. Now my blood pressure is normal and my heart rate has decreased. Very bizarre but relieving! Also on adderall xr & ir,ritalin
hypotension,My mom was diagnosed with Parkinson's and my psych took me off methylphenidate completely. He says it will bring on symptoms of Parkinson's much earlier. It's killing me - I'm really struggling without it.,ritalin
hypotension,"Thanks for this comment! How do you deal with feeling emotionally numbed, less able to laugh and more agitated at things in general? I really struggle with that even at homeopathically low doses",ritalin
irritability,"This was helpful! Thank you :) If you had anxiety with your ADHD, did you find it helped you in that regard as well? I deal with a lot of overstimulation issues which leads to panic attacks -\_\_- All nervous system dysfunction stuff",lntuniv
irritability,"I was diagnosed with severe adhd and it is absolutely debilitating. Not to mention the other co-morbid conditions I have such as anxiety, depression, and dyspraxia. I hate it when social media portrays adhd as this cute quirky trait that just happens to be in style.",lntuniv
irritability,">an executive functioning disorder that my doctors treat with stimulants

This ^ should be the official term. Wouldn't surprise me people on this thread will use it in the future. No more direct stigma.",lntuniv
irritability,"Any sexual side-effects? I’m currently on adderall and would like to try this as an add-on for ameliorating elevated blood pressure & anxiety, but I’m worried the A2 agonism would mess with erection quality. Have you (or anyone else who happens upon this question) experienced anything like that from the guanfacine?",lntuniv
irritability,"Be very cautious with guanfacine, it is a med originally meant to influence your cardiovascular system after all. It gave me super slow heartbeat and VERY low blood pressure in higher doses and started to negatively affect the effectiveness of Vyvanse too.",lntuniv
dizziness,"This was helpful! Thank you :) If you had anxiety with your ADHD, did you find it helped you in that regard as well? I deal with a lot of overstimulation issues which leads to panic attacks -\_\_- All nervous system dysfunction stuff",lntuniv
dizziness,"Be very cautious with guanfacine, it is a med originally meant to influence your cardiovascular system after all. It gave me super slow heartbeat and VERY low blood pressure in higher doses and started to negatively affect the effectiveness of Vyvanse too.",lntuniv
dizziness,">an executive functioning disorder that my doctors treat with stimulants

This ^ should be the official term. Wouldn't surprise me people on this thread will use it in the future. No more direct stigma.",lntuniv
dizziness,"I was diagnosed with severe adhd and it is absolutely debilitating. Not to mention the other co-morbid conditions I have such as anxiety, depression, and dyspraxia. I hate it when social media portrays adhd as this cute quirky trait that just happens to be in style.",lntuniv
dizziness,"I hear you about the trouble with executive dysfunction, time blindness, and for me, emotional dysregulation.  Like you, when things come up unexpectedly I can get derailed for the rest of the day.",lntuniv
dyspnoea,"This was helpful! Thank you :) If you had anxiety with your ADHD, did you find it helped you in that regard as well? I deal with a lot of overstimulation issues which leads to panic attacks -\_\_- All nervous system dysfunction stuff",lntuniv
dyspnoea,"Be very cautious with guanfacine, it is a med originally meant to influence your cardiovascular system after all. It gave me super slow heartbeat and VERY low blood pressure in higher doses and started to negatively affect the effectiveness of Vyvanse too.",lntuniv
dyspnoea,"I was diagnosed with severe adhd and it is absolutely debilitating. Not to mention the other co-morbid conditions I have such as anxiety, depression, and dyspraxia. I hate it when social media portrays adhd as this cute quirky trait that just happens to be in style.",lntuniv
dyspnoea,"I have a double met COMT mutation which means I am a poor processor of norepinephrine. Hence the hitters and hard crashes I've been getting. Guanfacine antagonize the alpha a2 receptor which drops the norepinephrine in your system hence its effect lowering blood pressure, calming the sympathetic nervous system, and reducing anxiety.",lntuniv
dyspnoea,"I hear you about the trouble with executive dysfunction, time blindness, and for me, emotional dysregulation.  Like you, when things come up unexpectedly I can get derailed for the rest of the day.",lntuniv
application site erythema,"This was helpful! Thank you :) If you had anxiety with your ADHD, did you find it helped you in that regard as well? I deal with a lot of overstimulation issues which leads to panic attacks -\_\_- All nervous system dysfunction stuff",lntuniv
application site erythema,"I was diagnosed with severe adhd and it is absolutely debilitating. Not to mention the other co-morbid conditions I have such as anxiety, depression, and dyspraxia. I hate it when social media portrays adhd as this cute quirky trait that just happens to be in style.",lntuniv
application site erythema,"Be very cautious with guanfacine, it is a med originally meant to influence your cardiovascular system after all. It gave me super slow heartbeat and VERY low blood pressure in higher doses and started to negatively affect the effectiveness of Vyvanse too.",lntuniv
application site erythema,"Any sexual side-effects? I’m currently on adderall and would like to try this as an add-on for ameliorating elevated blood pressure & anxiety, but I’m worried the A2 agonism would mess with erection quality. Have you (or anyone else who happens upon this question) experienced anything like that from the guanfacine?",lntuniv
application site erythema,"The amount of self diagnosed ADHD, BPD, ASD and AID has caused some clinics in my area to refuse to diagnose new patients.   I was surprised to hear it’s that prevalent.",lntuniv
hypotension,"This was helpful! Thank you :) If you had anxiety with your ADHD, did you find it helped you in that regard as well? I deal with a lot of overstimulation issues which leads to panic attacks -\_\_- All nervous system dysfunction stuff",lntuniv
hypotension,"Be very cautious with guanfacine, it is a med originally meant to influence your cardiovascular system after all. It gave me super slow heartbeat and VERY low blood pressure in higher doses and started to negatively affect the effectiveness of Vyvanse too.",lntuniv
hypotension,"I have a double met COMT mutation which means I am a poor processor of norepinephrine. Hence the hitters and hard crashes I've been getting. Guanfacine antagonize the alpha a2 receptor which drops the norepinephrine in your system hence its effect lowering blood pressure, calming the sympathetic nervous system, and reducing anxiety.",lntuniv
hypotension,"Any sexual side-effects? I’m currently on adderall and would like to try this as an add-on for ameliorating elevated blood pressure & anxiety, but I’m worried the A2 agonism would mess with erection quality. Have you (or anyone else who happens upon this question) experienced anything like that from the guanfacine?",lntuniv
hypotension,"I was diagnosed with severe adhd and it is absolutely debilitating. Not to mention the other co-morbid conditions I have such as anxiety, depression, and dyspraxia. I hate it when social media portrays adhd as this cute quirky trait that just happens to be in style.",lntuniv
irritability,"In my case, I developed anxiety as a coping/masking mechanism for my ADHD prior to diagnosis. 

After medication, I have a healthy level of anxiety and am waaay less uptight and rigid. It's wild.",dexedrine
irritability,"Man I was on starters and it was crazy - narcolepsy, nausea, incontinence, erectile dysfunction, headache, extreme irritability, the works. It was not worth it. I’m seeing my doc tomorrow for a change because it’s just too much

E:Strattera",dexedrine
irritability,"Is your hr 60 during actual rest (e.g. sleep) or during something like office work? 

A jump from 60 to 100 is somewhat severe, even for Adderall. I guess no harm in trying dextroamphetamine.",dexedrine
irritability,I've been prescribed clonidine (but only the IR version) for insomnia. It's the only medication I've ever taken (including a bunch of antidepressants) that caused erectile dysfunction the next day - does Intuniv also have that risk?,dexedrine
irritability,"80mg atomoxetine and 15mg methylphenidate.Before i was at 40 mg methylphenidate but it gave me too much anxiety and tachycardia. For now, the new medication works. Although my biggest problems are executive dysfunction and controlling my impulsivity.",dexedrine
dizziness,"In my case, I developed anxiety as a coping/masking mechanism for my ADHD prior to diagnosis. 

After medication, I have a healthy level of anxiety and am waaay less uptight and rigid. It's wild.",dexedrine
dizziness,"For Narcolepsy""Helps a great deal with daytime sleepiness, which I had all my adult life until Dexedrine. No side effects at 5 to 7.5 mg a day. At 10 mg sometimes anxiety or tension, but not always. No rebound effect or depression if I stop taking it. Not the dangerous drug some people would have you think.""",dexedrine
dizziness,"Is your hr 60 during actual rest (e.g. sleep) or during something like office work? 

A jump from 60 to 100 is somewhat severe, even for Adderall. I guess no harm in trying dextroamphetamine.",dexedrine
dizziness,"Are you taking your blood pressure, and monitoring your pulse? Low, and high blood pressure can make you dizzy. Once I was prescribed the right combo of meds I actually saw a reduction of heart rate and blood pressure. My doctor says that it’s likely due to a reduction in anxiety because I can function now. 

Dehydration will also contribute to low BP. Make sure you are getting a sufficient supply of electrolytes (what plants crave) as well.",dexedrine
dizziness,I've been prescribed clonidine (but only the IR version) for insomnia. It's the only medication I've ever taken (including a bunch of antidepressants) that caused erectile dysfunction the next day - does Intuniv also have that risk?,dexedrine
dyspnoea,"80mg atomoxetine and 15mg methylphenidate.Before i was at 40 mg methylphenidate but it gave me too much anxiety and tachycardia. For now, the new medication works. Although my biggest problems are executive dysfunction and controlling my impulsivity.",dexedrine
dyspnoea,"In my case, I developed anxiety as a coping/masking mechanism for my ADHD prior to diagnosis. 

After medication, I have a healthy level of anxiety and am waaay less uptight and rigid. It's wild.",dexedrine
dyspnoea,"Is your hr 60 during actual rest (e.g. sleep) or during something like office work? 

A jump from 60 to 100 is somewhat severe, even for Adderall. I guess no harm in trying dextroamphetamine.",dexedrine
dyspnoea,"Man I was on starters and it was crazy - narcolepsy, nausea, incontinence, erectile dysfunction, headache, extreme irritability, the works. It was not worth it. I’m seeing my doc tomorrow for a change because it’s just too much

E:Strattera",dexedrine
dyspnoea,I've been prescribed clonidine (but only the IR version) for insomnia. It's the only medication I've ever taken (including a bunch of antidepressants) that caused erectile dysfunction the next day - does Intuniv also have that risk?,dexedrine
application site erythema,"Is your hr 60 during actual rest (e.g. sleep) or during something like office work? 

A jump from 60 to 100 is somewhat severe, even for Adderall. I guess no harm in trying dextroamphetamine.",dexedrine
application site erythema,"In my case, I developed anxiety as a coping/masking mechanism for my ADHD prior to diagnosis. 

After medication, I have a healthy level of anxiety and am waaay less uptight and rigid. It's wild.",dexedrine
application site erythema,"80mg atomoxetine and 15mg methylphenidate.Before i was at 40 mg methylphenidate but it gave me too much anxiety and tachycardia. For now, the new medication works. Although my biggest problems are executive dysfunction and controlling my impulsivity.",dexedrine
application site erythema,"Man I was on starters and it was crazy - narcolepsy, nausea, incontinence, erectile dysfunction, headache, extreme irritability, the works. It was not worth it. I’m seeing my doc tomorrow for a change because it’s just too much

E:Strattera",dexedrine
application site erythema,"For Narcolepsy""Helps a great deal with daytime sleepiness, which I had all my adult life until Dexedrine. No side effects at 5 to 7.5 mg a day. At 10 mg sometimes anxiety or tension, but not always. No rebound effect or depression if I stop taking it. Not the dangerous drug some people would have you think.""",dexedrine
hypotension,"Well said; I’ll add that all meds have side effects long term, even when taking the right dose . You need to monitor your health . Specially on stimulants . They age you faster , affect heart and blood pressure skin and hair.",dexedrine
hypotension,"In my case, I developed anxiety as a coping/masking mechanism for my ADHD prior to diagnosis. 

After medication, I have a healthy level of anxiety and am waaay less uptight and rigid. It's wild.",dexedrine
hypotension,"80mg atomoxetine and 15mg methylphenidate.Before i was at 40 mg methylphenidate but it gave me too much anxiety and tachycardia. For now, the new medication works. Although my biggest problems are executive dysfunction and controlling my impulsivity.",dexedrine
hypotension,"Are you taking your blood pressure, and monitoring your pulse? Low, and high blood pressure can make you dizzy. Once I was prescribed the right combo of meds I actually saw a reduction of heart rate and blood pressure. My doctor says that it’s likely due to a reduction in anxiety because I can function now. 

Dehydration will also contribute to low BP. Make sure you are getting a sufficient supply of electrolytes (what plants crave) as well.",dexedrine
hypotension,"Is your hr 60 during actual rest (e.g. sleep) or during something like office work? 

A jump from 60 to 100 is somewhat severe, even for Adderall. I guess no harm in trying dextroamphetamine.",dexedrine
irritability,"The constant song in my head goes away, also my diarrhea of the mouth. My food sniffing compulsion also goes away, though that one is just makes me look weird, not.annoying",strattera
irritability,"Very often if you keep taking the medication, the sexual dysfunction goes away after a few weeks. Like a month. Like my libido isn’t completely dead, just greatly diminished because I’m on a high dose.",strattera
irritability,Did you also have anxiety? Has it helped for that? Have you tried stimulants? I feel like my anxiety and ocd get way worse when the stimulants wear off in the evening.,strattera
irritability,"Is there any deaths related to this side effect of Strattera or is it recommended to people who have heart disease or who have high blood pressure? It’s crazy how a non-stimulant raises your heart rate, yet stimulant raises it even most which is even more scary for young children and adults.",strattera
irritability,"I hope you've spent at least 3 weeks on 40mg before you decide to increase. Either way, my ADHD symptoms exacerbate when leaping up a dose. But no one can say exactly what you'll experience.",strattera
dizziness,"The constant song in my head goes away, also my diarrhea of the mouth. My food sniffing compulsion also goes away, though that one is just makes me look weird, not.annoying",strattera
dizziness,Did you also have anxiety? Has it helped for that? Have you tried stimulants? I feel like my anxiety and ocd get way worse when the stimulants wear off in the evening.,strattera
dizziness,"I have extreme muscle spasms if I lose my pill in the morning. In a days before I crushed porcelain cup in my palm. 9 month, 60 mg. 

As for my first day sides, that was constant ED, tremor, 110+ bpm, emotional numbness and apathy, also with extreme drowsiness. It was way easier on week 2, all of them have gone in 3 month",strattera
dizziness,"Is there any deaths related to this side effect of Strattera or is it recommended to people who have heart disease or who have high blood pressure? It’s crazy how a non-stimulant raises your heart rate, yet stimulant raises it even most which is even more scary for young children and adults.",strattera
dizziness,"Very often if you keep taking the medication, the sexual dysfunction goes away after a few weeks. Like a month. Like my libido isn’t completely dead, just greatly diminished because I’m on a high dose.",strattera
dyspnoea,"The constant song in my head goes away, also my diarrhea of the mouth. My food sniffing compulsion also goes away, though that one is just makes me look weird, not.annoying",strattera
dyspnoea,"Very often if you keep taking the medication, the sexual dysfunction goes away after a few weeks. Like a month. Like my libido isn’t completely dead, just greatly diminished because I’m on a high dose.",strattera
dyspnoea,"Is there any deaths related to this side effect of Strattera or is it recommended to people who have heart disease or who have high blood pressure? It’s crazy how a non-stimulant raises your heart rate, yet stimulant raises it even most which is even more scary for young children and adults.",strattera
dyspnoea,Did you also have anxiety? Has it helped for that? Have you tried stimulants? I feel like my anxiety and ocd get way worse when the stimulants wear off in the evening.,strattera
dyspnoea,"I have extreme muscle spasms if I lose my pill in the morning. In a days before I crushed porcelain cup in my palm. 9 month, 60 mg. 

As for my first day sides, that was constant ED, tremor, 110+ bpm, emotional numbness and apathy, also with extreme drowsiness. It was way easier on week 2, all of them have gone in 3 month",strattera
hypotension,"Is there any deaths related to this side effect of Strattera or is it recommended to people who have heart disease or who have high blood pressure? It’s crazy how a non-stimulant raises your heart rate, yet stimulant raises it even most which is even more scary for young children and adults.",strattera
hypotension,"The constant song in my head goes away, also my diarrhea of the mouth. My food sniffing compulsion also goes away, though that one is just makes me look weird, not.annoying",strattera
hypotension,"Very often if you keep taking the medication, the sexual dysfunction goes away after a few weeks. Like a month. Like my libido isn’t completely dead, just greatly diminished because I’m on a high dose.",strattera
hypotension,Did you also have anxiety? Has it helped for that? Have you tried stimulants? I feel like my anxiety and ocd get way worse when the stimulants wear off in the evening.,strattera
hypotension,"I hope you've spent at least 3 weeks on 40mg before you decide to increase. Either way, my ADHD symptoms exacerbate when leaping up a dose. But no one can say exactly what you'll experience.",strattera
application site erythema,"The constant song in my head goes away, also my diarrhea of the mouth. My food sniffing compulsion also goes away, though that one is just makes me look weird, not.annoying",strattera
application site erythema,"I hope you've spent at least 3 weeks on 40mg before you decide to increase. Either way, my ADHD symptoms exacerbate when leaping up a dose. But no one can say exactly what you'll experience.",strattera
application site erythema,"Very often if you keep taking the medication, the sexual dysfunction goes away after a few weeks. Like a month. Like my libido isn’t completely dead, just greatly diminished because I’m on a high dose.",strattera
application site erythema,Did you also have anxiety? Has it helped for that? Have you tried stimulants? I feel like my anxiety and ocd get way worse when the stimulants wear off in the evening.,strattera
application site erythema,"Is there any deaths related to this side effect of Strattera or is it recommended to people who have heart disease or who have high blood pressure? It’s crazy how a non-stimulant raises your heart rate, yet stimulant raises it even most which is even more scary for young children and adults.",strattera
